unique	unique_null	directional	directional_null	edit_distance
452443	452443	452444	452444	Single_UMI
0	9498	0	9632	0
1	0	0	0	1
4	0	4	0	2
8	0	8	0	3
37	5	37	4	4
92	13	92	12	5
141	100	141	94	6
133	210	133	214	7
153	70	153	50	8
352	23	352	26	9
868	33	868	37	10
1936	42	1936	46	11
3420	70	3420	58	12
4743	97	4743	92	13
4927	120	4927	118	14
3744	241	3744	267	15
1985	530	1985	476	16
713	1096	713	1063	17
120	1686	120	1772	18
0	2318	0	2325	19
0	2518	0	2435	20
0	2096	0	2058	21
0	1261	0	1323	22
0	591	0	543	23
0	202	0	203	24
0	106	0	98	25
0	110	0	106	26
0	103	0	113	27
0	109	0	82	28
0	77	0	77	29
0	33	0	41	30
0	16	0	10	31
0	3	0	1	32
0	0	0	0	33
