unique	unique_null	directional	directional_null	edit_distance
452752	452752	452752	452752	Single_UMI
0	9612	0	9487	0
0	0	0	0	1
0	0	0	0	2
10	2	10	0	3
41	3	41	7	4
115	8	115	15	5
120	94	120	104	6
141	212	141	196	7
101	70	101	63	8
302	25	302	24	9
861	30	861	34	10
1895	48	1895	47	11
3227	64	3227	68	12
4561	83	4561	65	13
4931	111	4931	127	14
3852	259	3852	242	15
2187	489	2187	491	16
758	1051	758	1017	17
120	1657	120	1587	18
0	2158	0	2191	19
0	2433	0	2492	20
0	2044	0	2134	21
0	1343	0	1355	22
0	634	0	650	23
0	206	0	246	24
0	103	0	115	25
0	116	0	101	26
0	109	0	130	27
0	109	0	98	28
0	86	0	83	29
0	46	0	42	30
0	17	0	9	31
0	0	0	2	32
0	0	0	0	33
